"Gene Symbol","MGI Gene Id","# Phenotype Hits","Phenotype Hits"
"Xdh","MGI:98973","7","cataract::abnormal vitreous body morphology::abnormal lung morphology::persistence of hyaloid vascular system::abnormal skin morphology::male infertility::preweaning lethality, incomplete penetrance"
"Pak2","MGI:1339984","6","preweaning lethality, complete penetrance::increased mean corpuscular volume::prolonged RR interval::embryonic lethality prior to tooth bud stage::increased mean corpuscular hemoglobin::increased circulating amylase level"
"Pak5","MGI:1920334","4","limb grasping::increased vertical activity::enlarged lymph nodes::abnormal lymph node morphology"
"Mir203","MGI:2676878","2","increased fasting circulating glucose level::decreased exploration in new environment"
"Gprc6a","MGI:2429498","4","increased hemoglobin content::enlarged heart::increased thymus weight::abnormal heart morphology"
"Ccdc88b","MGI:1925567","5","decreased leukocyte cell number::decreased lymphocyte cell number::polycystic kidney::enlarged lymph nodes::decreased fasting circulating glucose level"
"Ccdc88c","MGI:1915589","3","abnormal testis morphology::small testis::abnormal auditory brainstem response"
"H2bc4","MGI:1915274","4","enlarged urinary bladder::enlarged spleen::abnormal eye morphology::abnormal skin morphology"
"Mpzl2","MGI:1289160","6","increased red blood cell distribution width::abnormal coat/hair pigmentation::abnormal gait::long tibia::abnormal ear morphology::increased total body fat amount"
"Mpzl1","MGI:1915731","2","increased bone mineral content::decreased prepulse inhibition"
"Gck","MGI:1270854","6","increased fasting circulating glucose level::increased circulating alkaline phosphatase level::impaired glucose tolerance::preweaning lethality, incomplete penetrance::increased circulating glucose level::increased circulating fructosamine level"
"Rgp1","MGI:1915956","9","decreased circulating cholesterol level::preweaning lethality, complete penetrance::decreased thigmotaxis::abnormal spinal cord morphology::embryonic lethality prior to tooth bud stage::decreased circulating glucose level::abnormal behavior::decreased circulating calcium level::embryonic lethality prior to organogenesis"
"Tgfb1i1","MGI:102784","2","increased circulating cholesterol level::improved glucose tolerance"
"Klk12","MGI:1916761","2","abnormal joint morphology::abnormal kidney morphology"
"Klk11","MGI:1929977","8","abnormal joint morphology::abnormal liver morphology::abnormal thymus morphology::abnormal cranium morphology::abnormal seminal vesicle morphology::abnormal testis morphology::abnormal skin morphology::enlarged thymus"
"Klk15","MGI:2447533","6","abnormal cranium morphology::abnormal joint morphology::decreased prepulse inhibition::decreased locomotor activity::abnormal coat/ hair morphology::abnormal skin morphology"
"Klk14","MGI:2447564","1","increased urine microalbumin level"
"Klk13","MGI:3615275","6","microphthalmia::cataract::abnormal eye morphology::increased circulating alanine transaminase level::abnormal lens morphology::fused cornea and lens"
"Gm7694","MGI:3649135","2","increased grip strength::increased leukocyte cell number"
"Erp44","MGI:1923549","3","increased bone mineral content::increased lean body mass::preweaning lethality, incomplete penetrance"
"Gda","MGI:95678","12","decreased circulating cholesterol level::increased red blood cell distribution width::decreased circulating serum albumin level::decreased circulating HDL cholesterol level::increased bone mineral content::increased effector memory T-helper cell number::decreased total body fat amount::increased lean body mass::decreased circulating fructosamine level::increased bone mineral density::decreased hematocrit::decreased T-helper cell number"
"Stap1","MGI:1926193","1","male infertility"
"Asic1","MGI:1194915","1","decreased startle reflex"
"Asic3","MGI:2159339","9","small liver::enlarged spleen::abnormal liver morphology::abnormal spleen morphology::decreased prepulse inhibition::enlarged gallbladder::abnormal auditory brainstem response::abnormal gallbladder morphology::decreased body length"
"Sec22b","MGI:1338759","1","preweaning lethality, complete penetrance"
"Ermn","MGI:1925017","3","thrombocytosis::increased circulating triglyceride level::increased blood urea nitrogen level"
"Asic2","MGI:1100867","4","abnormal kidney morphology::small kidney::small spleen::increased freezing behavior"
"Rgs4","MGI:108409","8","increased mean corpuscular volume::increased bone mineral content::decreased lymphocyte cell number::increased eosinophil cell number::increased spleen weight::decreased lean body mass::increased total body fat amount::decreased circulating total protein level"
"Pitpnc1","MGI:1919045","9","increased circulating serum albumin level::increased circulating creatine kinase level::increased circulating alkaline phosphatase level::hyperactivity::improved glucose tolerance::decreased circulating glucose level::decreased total body fat amount::increased lean body mass::increased bone mineral density"
"Rgs2","MGI:1098271","3","abnormal tooth morphology::enlarged spleen::decreased fasting circulating glucose level"
"Syncrip","MGI:1891690","11","preweaning lethality, complete penetrance::decreased thigmotaxis::increased circulating alkaline phosphatase level::decreased mean platelet volume::hyperactivity::increased grip strength::increased bone mineral content::increased startle reflex::abnormal behavior::decreased anxiety-related response::abnormal auditory brainstem response"
"Slc8a3","MGI:107976","2","increased startle reflex::abnormal sleep behavior"
"Stt3b","MGI:1915542","9","increased circulating cholesterol level::preweaning lethality, complete penetrance::embryonic lethality prior to tooth bud stage::decreased mean corpuscular hemoglobin::embryonic growth retardation::increased circulating alanine transaminase level::decreased locomotor activity::decreased exploration in new environment::increased circulating bilirubin level"
"Mid1","MGI:1100537","12","single kidney::enlarged spleen::increased heart weight::abnormal spleen morphology::abnormal kidney morphology::small kidney::decreased prepulse inhibition::enlarged kidney::decreased total body fat amount::increased freezing behavior::increased lean body mass::persistence of hyaloid vascular system"
"Mid2","MGI:1344333","4","enlarged spleen::abnormal spleen morphology::scaly skin::abnormal skin morphology"
"Sec23a","MGI:1349635","2","process of degenerative change/Brain - MPATH process term::developmental dysplasia/Brain - MPATH process term"
"Nkapd1","MGI:2143205","9","preweaning lethality, complete penetrance::abnormal kidney morphology::small kidney::abnormal visceral yolk sac morphology::decreased prepulse inhibition::increased freezing behavior::abnormal vitelline vasculature morphology::abnormal skin morphology::embryonic lethality prior to organogenesis"
"Pla2g10","MGI:1347522","9","decreased heart rate::prolonged RR interval::abnormal QT variability::cardiovascular system phenotype::cataract::prolonged QT interval::abnormal lens morphology::decreased grip strength::increased heart rate variability"
"Dok4","MGI:2148865","1","increased grip strength"
"Tmx2","MGI:1914208","2","preweaning lethality, complete penetrance::embryonic lethality prior to organogenesis"
"Dok6","MGI:3639495","1","absent vibrissae"
"Dok7","MGI:3584043","8","preweaning lethality, complete penetrance::inflammation/Seminal vesicle - MPATH pathological process term::decreased lymphocyte cell number::abscess/Seminal vesicle - MPATH pathological entity term::metaplasia/Seminal vesicle - MPATH pathological process term::increased neutrophil cell number::abnormal auditory brainstem response::decreased body length"
"Sirt3","MGI:1927665","4","increased circulating creatine kinase level::abnormal gait::vertebral fusion::increased circulating alanine transaminase level"
"Sirt1","MGI:2135607","11","abnormal tooth morphology::abnormal iris morphology::abnormal snout morphology::abnormal heart left ventricle morphology::abnormal pelvic girdle bone morphology::abnormal maxilla morphology::abnormal scapula morphology::narrow eye opening::preweaning lethality, incomplete penetrance::increased basophil cell number::abnormal sinus arrhythmia"
"D1Pas1","MGI:91842","2","small testis::male infertility"
"Slc8b1","MGI:2180781","5","abnormal coat appearance::decreased exploration in new environment::abnormal sleep behavior::impaired righting response::abnormal sinus arrhythmia"
"Sirt4","MGI:1922637","5","increased circulating serum albumin level::tissue specific degenerative process/Skeletal muscle - MPATH process term::increased circulating total protein level::abnormal gait::increased circulating fructosamine level"
"Pla2g2e","MGI:1349660","4","increased red blood cell distribution width::increased circulating alkaline phosphatase level::increased fasting circulating glucose level::increased cardiac stroke volume"
"Pla2g2d","MGI:1341796","3","decreased leukocyte cell number::hyperactivity::decreased urine magnesium level"
"Taf1d","MGI:1922566","1","preweaning lethality, complete penetrance"
"Podxl","MGI:1351317","2","preweaning lethality, complete penetrance::abnormal retina morphology"
"Pla2g2f","MGI:1349661","9","decreased body weight::microphthalmia::enlarged heart::abnormal eye morphology::increased grip strength::abnormal testis morphology::small testis::increased mean platelet volume::abnormal heart morphology"
"Taf1a","MGI:109578","1","preweaning lethality, complete penetrance"
"Taf1c","MGI:109576","1","preweaning lethality, complete penetrance"
"Pla2g2c","MGI:106638","1","male infertility"
"Anapc5","MGI:1929722","2","preweaning lethality, complete penetrance::decreased grip strength"
"Dolk","MGI:2677836","2","preweaning lethality, complete penetrance::embryonic lethality prior to organogenesis"
"Anapc4","MGI:1098673","3","preweaning lethality, complete penetrance::embryonic lethality prior to tooth bud stage::embryonic lethality prior to organogenesis"
"Anapc1","MGI:103097","5","preweaning lethality, complete penetrance::increased circulating alkaline phosphatase level::increased grip strength::abnormal lens morphology::embryonic lethality prior to organogenesis"
